Country,Country Code,Region,Region Code,City
Canada,CA,Alberta,AB,
Canada,CA,British Columbia,BC,
Canada,CA,Manitoba,MB,
Canada,CA,New Brunswick,NB,
Canada,CA,Newfoundland and Labrador,NL,
Canada,CA,Nova Scotia,NS,
Canada,CA,Northwest Territories,NT,
Canada,CA,Nunavut,NU,
Canada,CA,Ontario,ON,
Canada,CA,Prince Edward Island,PE,
Canada,CA,Quebec,QC,
Canada,CA,Saskatchewan,SK,
Canada,CA,Yukon,YT,
Australia,AU,Australian Capital Territory,AC,
Australia,AU,New South Wales,NS,
Australia,AU,Northern Territory,NT,
Australia,AU,Queensland,QL,
Australia,AU,South Australia,SA,
Australia,AU,Tasmania,TA,
Australia,AU,Victoria,VI,
Australia,AU,Western Australia,WA,
Spain,ES,Andalusia,AN,
Spain,ES,Aragon,AR,
Spain,ES,Asturias,AS,
Spain,ES,Cantabria,CB,
Spain,ES,Ceuta,CE,
Spain,ES,Castile and León,CL,
Spain,ES,Castilla–La Mancha,CM,
Spain,ES,Canary Islands,CN,
Spain,ES,Catalonia,CT,
Spain,ES,Extremadura,EX,
Spain,ES,Galicia,GA,
Spain,ES,Balearic Islands,IB,
Spain,ES,Region of Murcia,MC,
Spain,ES,Community of Madrid,MD,
Spain,ES,Melilla,ML,
Spain,ES,Navarre,NA,
Spain,ES,Basque Country,PV,
Spain,ES,La Rioja,RI,
Spain,ES,Valencian Community,VC,
France,FR,Auvergne-Rhône-Alpes,AR,Aix-les-Bains
France,FR,Auvergne-Rhône-Alpes,AR,Albertville
France,FR,Auvergne-Rhône-Alpes,AR,Alixan
France,FR,Auvergne-Rhône-Alpes,AR,Annecy
France,FR,Auvergne-Rhône-Alpes,AR,Annonay
France,FR,Auvergne-Rhône-Alpes,AR,Arnas
France,FR,Auvergne-Rhône-Alpes,AR,Aubière
France,FR,Auvergne-Rhône-Alpes,AR,Aurillac
France,FR,Auvergne-Rhône-Alpes,AR,Bonne
France,FR,Auvergne-Rhône-Alpes,AR,Bourg-lès-Valence
France,FR,Auvergne-Rhône-Alpes,AR,Bourgoin-Jallieu
France,FR,Auvergne-Rhône-Alpes,AR,Brignais
France,FR,Auvergne-Rhône-Alpes,AR,Caluire-et-Cuire
France,FR,Auvergne-Rhône-Alpes,AR,Chambéry
France,FR,Auvergne-Rhône-Alpes,AR,Champagne-au-Mont-d-Or
France,FR,Auvergne-Rhône-Alpes,AR,Chaponost
France,FR,Auvergne-Rhône-Alpes,AR,Charbonnières-les-Bains
France,FR,Auvergne-Rhône-Alpes,AR,Charlieu
France,FR,Auvergne-Rhône-Alpes,AR,Chassieu
France,FR,Auvergne-Rhône-Alpes,AR,Clermont-Ferrand
France,FR,Auvergne-Rhône-Alpes,AR,Craponne
France,FR,Auvergne-Rhône-Alpes,AR,Dardilly
France,FR,Auvergne-Rhône-Alpes,AR,Décines-Charpieu
France,FR,Auvergne-Rhône-Alpes,AR,Fillière
France,FR,Auvergne-Rhône-Alpes,AR,Froges
France,FR,Auvergne-Rhône-Alpes,AR,Grand-Aigueblanche
France,FR,Auvergne-Rhône-Alpes,AR,Grenoble
France,FR,Auvergne-Rhône-Alpes,AR,Issoire
France,FR,Auvergne-Rhône-Alpes,AR,Jaillans
France,FR,Auvergne-Rhône-Alpes,AR,La Roche-sur-Foron
France,FR,Auvergne-Rhône-Alpes,AR,Lathuile
